地区名,クラブ名,クラブ名（カタカナ）,選択肢（地区名：クラブ名：クラブ名（カタカナ））,R7年度登録クラブ,R8年度登録申請状況,R8年度登録申請_タイムスタンプ,R8年度登録申請_タイムスタンプyyyymmddHHMMSS,申請_タイムスタンプ,申請_メールアドレス,申請_クラブ名_選択,申請_届出_書類_(選択時必須),申請_クラブ名_テキスト,申請_法人格,申請_代表者名,申請_設立日,申請_東京チェック,申請_区市町村名,申請_住所,申請_建物名(任意),申請_申請担当者名,申請_申請担当者役職,申請_TEL,申請_FAX(任意),申請_申請種別,申請_適合状況(1)①,申請_適合状況(1)②,申請_適合状況(1)③,申請_適合状況(1)④,申請_適合状況(2)⑤,申請_適合状況(3)⑥,申請_適合状況(3)⑦,申請_会員_未就_男_数,申請_会員_未就_女_数,申請_会員_未就_不_数,申請_会員_小_男_数,申請_会員_小_女_数,申請_会員_小_不_数,申請_会員_中_男_数,申請_会員_中_女_数,申請_会員_中_不_数,申請_会員_高_男_数,申請_会員_高_女_数,申請_会員_高_不_数,申請_会員_20s_男_数,申請_会員_20s_女_数,申請_会員_20s_不_数,申請_会員_30s_男_数,申請_会員_30s_女_数,申請_会員_30s_不_数,申請_会員_40s_男_数,申請_会員_40s_女_数,申請_会員_40s_不_数,申請_会員_50s_男_数,申請_会員_50s_女_数,申請_会員_50s_不_数,申請_会員_60s_男_数,申請_会員_60s_女_数,申請_会員_60s_不_数,申請_会員_70s_男_数,申請_会員_70s_女_数,申請_会員_70s_不_数,申請_年会_未就_男_数,申請_年会_未就_女_数,申請_年会_未就_不_数,申請_年会_小_男_数,申請_年会_小_女_数,申請_年会_小_不_数,申請_年会_中_男_数,申請_年会_中_女_数,申請_年会_中_不_数,申請_年会_高_男_数,申請_年会_高_女_数,申請_年会_高_不_数,申請_年会_20s_男_数,申請_年会_20s_女_数,申請_年会_20s_不_数,申請_年会_30s_男_数,申請_年会_30s_女_数,申請_年会_30s_不_数,申請_年会_40s_男_数,申請_年会_40s_女_数,申請_年会_40s_不_数,申請_年会_50s_男_数,申請_年会_50s_女_数,申請_年会_50s_不_数,申請_年会_60s_男_数,申請_年会_60s_女_数,申請_年会_60s_不_数,申請_年会_70s_男_数,申請_年会_70s_女_数,申請_年会_70s_不_数,申請_種目_アーチェリー,申請_種目_アイスホッケー,申請_種目_アメフト,申請_種目_インディアカ,申請_種目_ウエイトリフティング,申請_種目_ウォーキング,申請_種目_エアロビック,申請_種目_オリエンテーリング,申請_種目_親子リトミック,申請_種目_カーリング,申請_種目_カヌー,申請_種目_空手道,申請_種目_弓道,申請_種目_近代五種,申請_種目_キンボール,申請_種目_グラウンド・ゴルフ,申請_種目_クレー射撃,申請_種目_ゲートボール,申請_種目_健康体操,申請_種目_剣道,申請_種目_ゴルフ,申請_種目_サッカー,申請_種目_山岳,申請_種目_自転車競技,申請_種目_銃剣道,申請_種目_柔道,申請_種目_少林寺拳法,申請_種目_新体操,申請_種目_水泳,申請_種目_スキー・スノボ,申請_種目_スクーバ,申請_種目_スケート,申請_種目_クライミング,申請_種目_チャンバラ,申請_種目_吹矢,申請_種目_相撲,申請_種目_セーリング,申請_種目_ソフトテニス,申請_種目_ソフトバレー,申請_種目_ソフトボール,申請_種目_太極拳,申請_種目_体操,申請_種目_体操競技,申請_種目_卓球,申請_種目_ターゲット・バードゴルフ,申請_種目_ダンス,申請_種目_ダンススポーツ,申請_種目_チアダンス,申請_種目_チアリーディング,申請_種目_綱引,申請_種目_テニス,申請_種目_ドッジボール,申請_種目_トライアスロン,申請_種目_トランポリン,申請_種目_なぎなた,申請_種目_軟式野球,申請_種目_バイアスロン,申請_種目_バウンドテニス,申請_種目_馬術,申請_種目_バスケ,申請_種目_バドミントン,申請_種目_バレー,申請_種目_パワーリフティング,申請_種目_ハンドボール,申請_種目_パークゴルフ,申請_種目_ビーチバレー,申請_種目_フィトネス,申請_種目_フェンシング,申請_種目_武術太極拳,申請_種目_フットサル,申請_種目_フライングディスク,申請_種目_フラダンス,申請_種目_プロゴルフ,申請_種目_プロスキー,申請_種目_プロテニス,申請_種目_ペタンク,申請_種目_ボウリング,申請_種目_ボート,申請_種目_ボクシング,申請_種目_ホッケー,申請_種目_ボブスレー,申請_種目_野球,申請_種目_ヨガ,申請_種目_ライフル射撃,申請_種目_ラグビー,申請_種目_ランニング,申請_種目_陸上,申請_種目_レスリング,申請_種目_ローラースポーツ,申請_種目_3B体操,申請_種目_その他,申請_種目_その他_数(選択時必須),申請_種目_その他_テキスト(選択時必須),申請_指導者_アーチェリー,申請_指導者_アイスホッケー,申請_指導者_アメフト,申請_指導者_ウエイトリフティング,申請_指導者_エアロビック,申請_指導者_オリエンテーリング,申請_指導者_カーリング,申請_指導者_カヌー,申請_指導者_空手道,申請_指導者_弓道,申請_指導者_グラウンド・ゴルフ,申請_指導者_クレー射撃,申請_指導者_ゲートボール,申請_指導者_剣道,申請_指導者_ゴルフ,申請_指導者_サッカー,申請_指導者_山岳,申請_指導者_自転車競技,申請_指導者_銃剣道,申請_指導者_柔道,申請_指導者_新体操,申請_指導者_水泳,申請_指導者_スキー・スノボ,申請_指導者_スクーバ,申請_指導者_スケート,申請_指導者_クライミング,申請_指導者_相撲,申請_指導者_セーリング,申請_指導者_ソフトテニス,申請_指導者_ソフトボール,申請_指導者_体操,申請_指導者_体操競技,申請_指導者_卓球,申請_指導者_ダンススポーツ,申請_指導者_チアダンス,申請_指導者_チアリーディング,申請_指導者_綱引,申請_指導者_テニス,申請_指導者_ドッジボール,申請_指導者_トライアスロン,申請_指導者_トランポリン,申請_指導者_なぎなた,申請_指導者_軟式野球,申請_指導者_バイアスロン,申請_指導者_バウンドテニス,申請_指導者_馬術,申請_指導者_バスケ,申請_指導者_バドミントン,申請_指導者_バレー,申請_指導者_パワーリフティング,申請_指導者_ハンドボール,申請_指導者_フェンシング,申請_指導者_フットサル,申請_指導者_プロゴルフ,申請_指導者_プロスキー,申請_指導者_プロテニス,申請_指導者_ボウリング,申請_指導者_ボート,申請_指導者_ボクシング,申請_指導者_ホッケー,申請_指導者_ボブスレー,申請_指導者_ライフル射撃,申請_指導者_ラグビー,申請_指導者_陸上,申請_指導者_レスリング,申請_マネジャー_配置状況,申請_マネジャー_マネ資格_数,申請_マネジャー_アシマネ資格_数,申請_事務局_マネ資格_数,申請_事務局_アシマネ資格_数,申請_規約_改定有無,申請_規約_改定時議事録_書類(選択時必須),申請_規約_改定前規約_書類(選択時必須),申請_規約_提出有無,申請_規約_書類(選択時必須),申請_役員名簿_提出有無,申請_役員名簿_種類(選択時必須),申請_役員名簿_書類(選択時必須),申請_事業計画_決議機関名称,申請_事業計画_決議日,申請_事業計画_書類,申請_事業計画_議事録_書類,申請_予算_決議機関名称,申請_予算_決議日,申請_予算_書類,申請_予算_議事録_書類,申請_事業報告_提出有無,申請_事業報告_決議機関名称(選択時必須),申請_事業報告_決議日(選択時必須),申請_事業報告_事業報告_書類(選択時必須),申請_事業報告_議事録_書類(選択時必須),申請_決算_提出有無,申請_決算_決議機関名称(選択時必須),申請_決算_決議日(選択時必須),申請_決算_書類(選択時必須),申請_決算_議事録_書類(選択時必須),申請_自己点検シート_書類,申請_自己説明_書類
千代田区,富士見スポーツ・文化クラブ,フジミスポーツ・ブンカクラブ,千代田区 : 富士見スポーツ・文化クラブ : フジミスポーツ・ブンカクラブ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,一般社団法人中央区地域スポーツクラブ大江戸月島,イッパンシャダンホウジンチュウオウクチイキスポーツクラブオオエドツキシマ,中央区 : 一般社団法人中央区地域スポーツクラブ大江戸月島 : イッパンシャダンホウジンチュウオウクチイキスポーツクラブオオエドツキシマ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,一般社団法人　中央区地域スポーツクラブ大江戸日本橋・京橋,イッパンシャダンホウジン　チュウオウクチイキスポーツクラブオオエドニホンバシ・キョウバシ,中央区 : 一般社団法人　中央区地域スポーツクラブ大江戸日本橋・京橋 : イッパンシャダンホウジン　チュウオウクチイキスポーツクラブオオエドニホンバシ・キョウバシ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,港区総合型地域スポーツ・文化クラブ六本木（スポ－カル六本木）,ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ロッポンギ（スポーカルロッポンギ）,港区 : 港区総合型地域スポーツ・文化クラブ六本木（スポ－カル六本木） : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ロッポンギ（スポーカルロッポンギ）,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,港区総合型地域スポーツ・文化クラブ高松（スポ－カル高松）,ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　タカマツ（スポーカルタカマツ）,港区 : 港区総合型地域スポーツ・文化クラブ高松（スポ－カル高松） : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　タカマツ（スポーカルタカマツ）,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,港区総合型地域スポーツ･文化クラブ青山(スポーカル青山),ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　アオヤマ（スポーカルアオヤマ）,港区 : 港区総合型地域スポーツ･文化クラブ青山(スポーカル青山) : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　アオヤマ（スポーカルアオヤマ）,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,港区総合型地域スポーツ･文化クラブ三田(スポーカル三田),ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ミタ（スポーカルミタ）,港区 : 港区総合型地域スポーツ･文化クラブ三田(スポーカル三田) : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ミタ（スポーカルミタ）,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,新宿チャレンジスポーツ文化クラブ,シンジュクチャレンジスポーツブンカクラブ,新宿区 : 新宿チャレンジスポーツ文化クラブ : シンジュクチャレンジスポーツブンカクラブ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,礫南スポーツクラブ,レキナンスポーツクラブ,文京区 : 礫南スポーツクラブ : レキナンスポーツクラブ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,たなかクラブ,タナカクラブ,台東区 : たなかクラブ : タナカクラブ,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
