0,1,ページ,表番号,2,3
クラブ名,東京チッキー＆クラちゃんクラブ,1,1,,
代表者名,チキ山 クラ蔵,1,1,,
申請種別,新規,1,1,,
"クラブ名
（正式名称）",東京チッキー＆クラちゃんクラブ,3,1,,
"フリガナ
（クラブ名/全角カナ）",トウキョウチッキーアンドクラチャンクラブ,3,1,,
"設立年
（西暦記入）",2020 年,3,1,"設立年数
（自動入力）",4 年
"郵便番号
（半角ﾊｲﾌﾝなし）",1600013,3,1,都道府県名,東京都
市区町村名,新宿区,3,1,番地,霞ヶ丘町4-2
建物名,Japan Sport Olympic Square 9階,3,1,,
"E-mail
（半角英数字）",coordinator@tokyo-sports.or.jp,3,1,,
"TEL
（半角数字）",03-6804-1472,3,1,事務担当者氏名,クラ本 チキ太
"FAX
（半角数字）",03-6804-1472,3,1,役職,事務局長
,ステージ名,4,1,処理者,コメント
1,申請者,4,1,"東京チキクラクラブ
東京都","テストです
コーディネーター藤田"
