地区名,クラブ名,クラブ名（カタカナ）,選択肢（地区名：クラブ名：クラブ名（カタカナ））,R7年度登録クラブ,R8年度登録申請クラブ,R8年度登録申請_タイムスタンプ
千代田区,富士見スポーツ・文化クラブ,フジミスポーツ・ブンカクラブ,千代田区 : 富士見スポーツ・文化クラブ : フジミスポーツ・ブンカクラブ,0,0,
中央区,一般社団法人中央区地域スポーツクラブ大江戸月島,イッパンシャダンホウジンチュウオウクチイキスポーツクラブオオエドツキシマ,中央区 : 一般社団法人中央区地域スポーツクラブ大江戸月島 : イッパンシャダンホウジンチュウオウクチイキスポーツクラブオオエドツキシマ,1,0,
中央区,一般社団法人　中央区地域スポーツクラブ大江戸日本橋・京橋,イッパンシャダンホウジン　チュウオウクチイキスポーツクラブオオエドニホンバシ・キョウバシ,中央区 : 一般社団法人　中央区地域スポーツクラブ大江戸日本橋・京橋 : イッパンシャダンホウジン　チュウオウクチイキスポーツクラブオオエドニホンバシ・キョウバシ,0,0,
港区,港区総合型地域スポーツ・文化クラブ六本木（スポ－カル六本木）,ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ロッポンギ（スポーカルロッポンギ）,港区 : 港区総合型地域スポーツ・文化クラブ六本木（スポ－カル六本木） : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ロッポンギ（スポーカルロッポンギ）,1,0,
港区,港区総合型地域スポーツ・文化クラブ高松（スポ－カル高松）,ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　タカマツ（スポーカルタカマツ）,港区 : 港区総合型地域スポーツ・文化クラブ高松（スポ－カル高松） : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　タカマツ（スポーカルタカマツ）,0,0,
港区,港区総合型地域スポーツ･文化クラブ青山(スポーカル青山),ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　アオヤマ（スポーカルアオヤマ）,港区 : 港区総合型地域スポーツ･文化クラブ青山(スポーカル青山) : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　アオヤマ（スポーカルアオヤマ）,0,0,
港区,港区総合型地域スポーツ･文化クラブ三田(スポーカル三田),ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ミタ（スポーカルミタ）,港区 : 港区総合型地域スポーツ･文化クラブ三田(スポーカル三田) : ミナトクソウゴウガタチイキスポーツ・ブンカクラブ　ミタ（スポーカルミタ）,0,0,
新宿区,新宿チャレンジスポーツ文化クラブ,シンジュクチャレンジスポーツブンカクラブ,新宿区 : 新宿チャレンジスポーツ文化クラブ : シンジュクチャレンジスポーツブンカクラブ,1,0,
文京区,礫南スポーツクラブ,レキナンスポーツクラブ,文京区 : 礫南スポーツクラブ : レキナンスポーツクラブ,0,0,
台東区,たなかクラブ,タナカクラブ,台東区 : たなかクラブ : タナカクラブ,0,0,
